indice_tiempo,pernoctes_no_residentes
2007-01-01,1072117.0
2007-02-01,1102004.0
2007-03-01,947343.0
2007-04-01,821359.0
2007-05-01,597970.0
2007-06-01,577066.0
2007-07-01,965678.0
2007-08-01,813100.0
2007-09-01,810688.0
2007-10-01,969671.0
2007-11-01,1173034.0
2007-12-01,1055138.0
2008-01-01,1193309.0
2008-02-01,1095441.0
2008-03-01,1017984.0
2008-04-01,746030.0
2008-05-01,677457.0
2008-06-01,600621.0
2008-07-01,974037.0
2008-08-01,814253.0
2008-09-01,778694.0
2008-10-01,852439.0
2008-11-01,933247.0
2008-12-01,889369.0
2009-01-01,970520.0
2009-02-01,873200.0
2009-03-01,779617.0
2009-04-01,697392.0
2009-05-01,549460.0
2009-06-01,518714.0
2009-07-01,514856.0
2009-08-01,548386.0
2009-09-01,644768.0
2009-10-01,861107.0
2009-11-01,1012681.0
2009-12-01,984359.0
2010-01-01,1100953.0
2010-02-01,1075682.0
2010-03-01,950051.0
2010-04-01,808716.0
2010-05-01,689648.0
2010-06-01,736123.0
2010-07-01,1122836.0
2010-08-01,908451.0
2010-09-01,926727.0
2010-10-01,1024837.0
2010-11-01,1121868.0
2010-12-01,1070670.0
2011-01-01,1223545.0
2011-02-01,1046619.0
2011-03-01,1010278.0
2011-04-01,879757.0
2011-05-01,696703.0
2011-06-01,627499.0
2011-07-01,1025071.0
2011-08-01,797886.0
2011-09-01,886936.0
2011-10-01,931312.0
2011-11-01,1064727.0
2011-12-01,979512.0
2012-01-01,1108188.0
2012-02-01,1011745.0
2012-03-01,955307.0
2012-04-01,803358.0
2012-05-01,612412.0
2012-06-01,616840.0
2012-07-01,895115.0
2012-08-01,726213.0
2012-09-01,749378.0
2012-10-01,793947.0
2012-11-01,945797.0
2012-12-01,892626.0
2013-01-01,939482.0
2013-02-01,871216.0
2013-03-01,845086.0
2013-04-01,650517.0
2013-05-01,624297.0
2013-06-01,621726.0
2013-07-01,890802.0
2013-08-01,760075.0
2013-09-01,804204.0
2013-10-01,831130.0
2013-11-01,974963.0
2013-12-01,923016.0
2014-01-01,1015896.0
2014-02-01,896323.0
2014-03-01,925048.0
2014-04-01,819874.0
2014-05-01,685773.0
2014-06-01,628526.0
2014-07-01,871190.0
2014-08-01,821412.0
2014-09-01,792104.0
2014-10-01,885185.0
2014-11-01,990913.0
2014-12-01,966484.0
2015-01-01,1063641.0
2015-02-01,917172.0
2015-03-01,821875.0
2015-04-01,693620.0
2015-05-01,589898.0
2015-06-01,574831.0
2015-07-01,765675.0
2015-08-01,644282.0
2015-09-01,691838.0
2015-10-01,713255.0
2015-11-01,815988.0
2015-12-01,775252.0
2016-01-01,900074.0
2016-02-01,829003.0
2016-03-01,778006.0
2016-04-01,630575.0
2016-05-01,535304.0
2016-06-01,530385.0
2016-07-01,740594.0
2016-08-01,684809.0
2016-09-01,680062.0
2016-10-01,812207.0
2016-11-01,916432.0
2016-12-01,862180.0
2017-01-01,928630.0
2017-02-01,829858.0
2017-03-01,795847.0
2017-04-01,732681.0
2017-05-01,580037.0
2017-06-01,585009.0
2017-07-01,827454.0
2017-08-01,722837.0
2017-09-01,750120.0
2017-10-01,852377.0
2017-11-01,975048.0
2017-12-01,916223.0
2018-01-01,969714.0
2018-02-01,870862.0
2018-03-01,882658.0
2018-04-01,738404.0
2018-05-01,594945.0
2018-06-01,543657.0
2018-07-01,798003.0
2018-08-01,721574.0
2018-09-01,806407.0
2018-10-01,902105.0
2018-11-01,1068996.0
2018-12-01,1023573.0
2019-01-01,1159036.0
2019-02-01,956771.0
2019-03-01,1001494.0
2019-04-01,829590.0
2019-05-01,686557.0
2019-06-01,657868.0
2019-07-01,927739.0
2019-08-01,795819.0
2019-09-01,823963.0
2019-10-01,909451.0
2019-11-01,1080306.0
2019-12-01,1087234.0
2020-01-01,1096920.0
2020-02-01,1013840.0
2020-03-01,456968.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,7209.0
2020-07-01,2437.0
2020-08-01,2329.0
2020-09-01,4741.0
2020-10-01,10125.0
2020-11-01,13218.0
2020-12-01,29214.0
2021-01-01,36832.0
